title,publication,Book Series Title,Journal Volume,Journal Issue,doi,author,Publication Year,url,Content Type
Building a business email compromise research dataset with large language models,Journal of Computer Virology and Hacking Techniques,,,,10.1007/s11416-024-00544-y,Rohit Dube,2025,https://link.springer.com/article/10.1007/s11416-024-00544-y,Article
A Novel Framework to Detect Business Email Compromise Through Unconsented Email Autoforwards,Advancements in Smart Computing and Information Security,,,,10.1007/978-3-031-59100-6_17,Priti KulkarniJatinderkumar R. Saini,2024,https://link.springer.com/chapter/10.1007/978-3-031-59100-6_17,Conference paper
Detection of Business Email Compromise Attacks with Writing Style Analysis,Mobile Internet Security,,,,10.1007/978-981-16-9576-6_18,Alisa VorobevaGuldar KhisaevaDanil ZakoldaevIgor Kotenko,2022,https://link.springer.com/chapter/10.1007/978-981-16-9576-6_18,Conference paper
ZeSAI: AI vigilant malware detection in email security with zero shot-based hybrid network and threat intelligence integration,Journal of Combinatorial Optimization,,,,10.1007/s10878-025-01306-2,Venkadeshan RamalingamR. GopalSyed Ziaur RahmanR. Senthil,2025,https://link.springer.com/article/10.1007/s10878-025-01306-2,Article
Phishing Email Detection: Survey,Recent Trends and Advances in Artificial Intelligence,,,,10.1007/978-3-031-70924-1_42,Raweia S. MohamedAliRazn A. Abduhameed,2024,https://link.springer.com/chapter/10.1007/978-3-031-70924-1_42,Conference paper
Phishing URL detection with neural networks: an empirical study,Scientific Reports,,,,10.1038/s41598-024-74725-6,Hayk GhalechyanElina IsrayelyanAvag ArakelyanGerasim HovhannisyanArman Davtyan,2024,https://link.springer.com/article/10.1038/s41598-024-74725-6,Article
Phishing Email Detection Using NLP and CNN Model,Advances in Intelligent Systems and Digital Applications,,,,10.1007/978-3-031-95330-9_22,Meryem HilaniBouchra NassihImane LmatiYoussef BaloukiAouatif Amine,2025,https://link.springer.com/chapter/10.1007/978-3-031-95330-9_22,Conference paper
A Contemporary Framework for Detection of Phishing Website for Cyber Societal Safety,SN Computer Science,,,,10.1007/s42979-025-03942-1,B. N. LakshmiB. K. DhanalakshmiK. Tharun Reddy,2025,https://link.springer.com/article/10.1007/s42979-025-03942-1,Article
The Effectiveness of&#xa0;Transformer-Based Models for&#xa0;BEC Attack Detection,Network and System Security,,,,10.1007/978-3-031-39828-5_5,Amirah AlmutairiBooJoong KangNawfal Fadhel,2023,https://link.springer.com/chapter/10.1007/978-3-031-39828-5_5,Conference paper
Phishing Website Detection Through Multi-model Analysis of&#xa0;HTML Content,Proceedings of International Conference on Theoretical and Applied Computing,,,,10.1007/978-981-97-6957-5_15,Furkan ÇolhakMert İlhan EcevitBilal Emir UçarReiner CreutzburgHasan Dağ,2025,https://link.springer.com/chapter/10.1007/978-981-97-6957-5_15,Conference paper
