title,publication,Book Series Title,Journal Volume,Journal Issue,doi,author,Publication Year,url,Content Type
Building a business email compromise research dataset with large language models,Journal of Computer Virology and Hacking Techniques,,,,10.1007/s11416-024-00544-y,Rohit Dube,2025,https://link.springer.com/article/10.1007/s11416-024-00544-y,Article
A Novel Framework to Detect Business Email Compromise Through Unconsented Email Autoforwards,Advancements in Smart Computing and Information Security,,,,10.1007/978-3-031-59100-6_17,Priti KulkarniJatinderkumar R. Saini,2024,https://link.springer.com/chapter/10.1007/978-3-031-59100-6_17,Conference paper
Intelligent phishing website detection using machine learning,Multimedia Tools and Applications,,,,10.1007/s11042-023-14731-4,Ashish Kumar JhaRaja MuthalaguPranav M. Pawar,2023,https://link.springer.com/article/10.1007/s11042-023-14731-4,Article
Detection of Business Email Compromise Attacks with Writing Style Analysis,Mobile Internet Security,,,,10.1007/978-981-16-9576-6_18,Alisa VorobevaGuldar KhisaevaDanil ZakoldaevIgor Kotenko,2022,https://link.springer.com/chapter/10.1007/978-981-16-9576-6_18,Conference paper
A case study on phishing detection with a machine learning net,International Journal of Data Science and Analytics,,,,10.1007/s41060-024-00579-w,Ana BezerraIvo PereiraMiguel Ângelo RebeloDuarte CoelhoDaniel Alves de OliveiraJoaquim F. Pinto CostaRicardo P. M. Cruz,2024,https://link.springer.com/article/10.1007/s41060-024-00579-w,Article
Advancing cybersecurity: a comprehensive review of AI-driven detection techniques,Journal of Big Data,,,,10.1186/s40537-024-00957-y,Aya H. SalemSafaa M. AzzamO. E. EmamAmr A. Abohany,2024,https://link.springer.com/article/10.1186/s40537-024-00957-y,Article
A Contemporary Framework for Detection of Phishing Website for Cyber Societal Safety,SN Computer Science,,,,10.1007/s42979-025-03942-1,B. N. LakshmiB. K. DhanalakshmiK. Tharun Reddy,2025,https://link.springer.com/article/10.1007/s42979-025-03942-1,Article
Using Website Content for&#xa0;Detecting Phishing URLs: A Novel Approach,Advances in Data-Driven Computing and Intelligent Systems,,,,10.1007/978-981-99-9518-9_7,Vaishali GanganwarSyed Iarshed HussainAnkur PowarShushant GaurAmit Kumar,2024,https://link.springer.com/chapter/10.1007/978-981-99-9518-9_7,Conference paper
Large Language Models in Cyberattacks,Doklady Mathematics,,,,10.1134/S1064562425700012,S. V. LebedD. E. NamiotE. V. ZubarevaP. V. KhenkinA. A. VorobevaD. A. Svichkar,2024,https://link.springer.com/article/10.1134/S1064562425700012,Article
ZeSAI: AI vigilant malware detection in email security with zero shot-based hybrid network and threat intelligence integration,Journal of Combinatorial Optimization,,,,10.1007/s10878-025-01306-2,Venkadeshan RamalingamR. GopalSyed Ziaur RahmanR. Senthil,2025,https://link.springer.com/article/10.1007/s10878-025-01306-2,Article
