title,publication,Book Series Title,Journal Volume,Journal Issue,doi,author,Publication Year,url,Content Type
Development of Proposed Model Using Random Forest with Optimization Technique for Classification of Phishing Website,SN Computer Science,,,,10.1007/s42979-024-03388-x,Prakash PathakAkhilesh Kumar Shrivas,2024,https://link.springer.com/article/10.1007/s42979-024-03388-x,Article
Using Website Content for&#xa0;Detecting Phishing URLs: A Novel Approach,Advances in Data-Driven Computing and Intelligent Systems,,,,10.1007/978-981-99-9518-9_7,Vaishali GanganwarSyed Iarshed HussainAnkur PowarShushant GaurAmit Kumar,2024,https://link.springer.com/chapter/10.1007/978-981-99-9518-9_7,Conference paper
Detection of Business Email Compromise Attacks with Writing Style Analysis,Mobile Internet Security,,,,10.1007/978-981-16-9576-6_18,Alisa VorobevaGuldar KhisaevaDanil ZakoldaevIgor Kotenko,2022,https://link.springer.com/chapter/10.1007/978-981-16-9576-6_18,Conference paper
Phishing Email Detection: Survey,Recent Trends and Advances in Artificial Intelligence,,,,10.1007/978-3-031-70924-1_42,Raweia S. MohamedAliRazn A. Abduhameed,2024,https://link.springer.com/chapter/10.1007/978-3-031-70924-1_42,Conference paper
The Effectiveness of&#xa0;Transformer-Based Models for&#xa0;BEC Attack Detection,Network and System Security,,,,10.1007/978-3-031-39828-5_5,Amirah AlmutairiBooJoong KangNawfal Fadhel,2023,https://link.springer.com/chapter/10.1007/978-3-031-39828-5_5,Conference paper
Cybercrime Analysis of India Using Machine Learning,Data Science and Applications,,,,10.1007/978-981-99-7820-5_11,Aviral GoyalLydia J. Gnanasigamani,2024,https://link.springer.com/chapter/10.1007/978-981-99-7820-5_11,Conference paper
Phishing Email Detection Using NLP and CNN Model,Advances in Intelligent Systems and Digital Applications,,,,10.1007/978-3-031-95330-9_22,Meryem HilaniBouchra NassihImane LmatiYoussef BaloukiAouatif Amine,2025,https://link.springer.com/chapter/10.1007/978-3-031-95330-9_22,Conference paper
A deep learning mechanism to detect phishing URLs using the permutation importance method and SMOTE-Tomek link,The Journal of Supercomputing,,,,10.1007/s11227-024-06124-7,Rania ZaimiMohamed HafidiMahnane Lamia,2024,https://link.springer.com/article/10.1007/s11227-024-06124-7,Article
ZeSAI: AI vigilant malware detection in email security with zero shot-based hybrid network and threat intelligence integration,Journal of Combinatorial Optimization,,,,10.1007/s10878-025-01306-2,Venkadeshan RamalingamR. GopalSyed Ziaur RahmanR. Senthil,2025,https://link.springer.com/article/10.1007/s10878-025-01306-2,Article
Intelligent phishing website detection using machine learning,Multimedia Tools and Applications,,,,10.1007/s11042-023-14731-4,Ashish Kumar JhaRaja MuthalaguPranav M. Pawar,2023,https://link.springer.com/article/10.1007/s11042-023-14731-4,Article
An enhanced mechanism for malicious URL detection using deep learning and DistilBERT-based feature extraction,The Journal of Supercomputing,,,,10.1007/s11227-024-06908-x,Rania ZaimiKhouloud Safi EljilMohamed HafidiMahnane LamiaFarid Nait-Abdesselam,2025,https://link.springer.com/article/10.1007/s11227-024-06908-x,Article
A Contemporary Framework for Detection of Phishing Website for Cyber Societal Safety,SN Computer Science,,,,10.1007/s42979-025-03942-1,B. N. LakshmiB. K. DhanalakshmiK. Tharun Reddy,2025,https://link.springer.com/article/10.1007/s42979-025-03942-1,Article
Artificial Intelligence Methods in Email Marketing—A Survey,Dependable Computer Systems and Networks,,,,10.1007/978-3-031-37720-4_8,Anna Jach,2023,https://link.springer.com/chapter/10.1007/978-3-031-37720-4_8,Conference paper
AI for Defense,The Cybersecurity Trinity,,,,10.1007/979-8-8688-0947-7_3,Donnie W. Wendt,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0947-7_3,Chapter
Advancing cybersecurity: a comprehensive review of AI-driven detection techniques,Journal of Big Data,,,,10.1186/s40537-024-00957-y,Aya H. SalemSafaa M. AzzamO. E. EmamAmr A. Abohany,2024,https://link.springer.com/article/10.1186/s40537-024-00957-y,Article
A systematic review and research challenges on phishing cyberattacks from an electroencephalography and gaze-based perspective,Personal and Ubiquitous Computing,,,,10.1007/s00779-024-01794-9,George A. ThomopoulosDimitrios P. LyrasChristos A. Fidas,2024,https://link.springer.com/article/10.1007/s00779-024-01794-9,Article
Computational Approaches to Persuasion Detection and Potential of Use in Social Engineering,"Proceedings of the Future Technologies Conference (FTC) 2023, Volume 4",,,,10.1007/978-3-031-47448-4_30,Subia AnsariMohammad Zaiyan Alam,2023,https://link.springer.com/chapter/10.1007/978-3-031-47448-4_30,Conference paper
A case study on phishing detection with a machine learning net,International Journal of Data Science and Analytics,,,,10.1007/s41060-024-00579-w,Ana BezerraIvo PereiraMiguel Ângelo RebeloDuarte CoelhoDaniel Alves de OliveiraJoaquim F. Pinto CostaRicardo P. M. Cruz,2024,https://link.springer.com/article/10.1007/s41060-024-00579-w,Article
Impact of AI-Generated Phishing Attacks: A New Cybersecurity Threat,Intelligent Computing,,,,10.1007/978-3-031-92605-1_19,Taiwo Oladipupo Ayodele,2025,https://link.springer.com/chapter/10.1007/978-3-031-92605-1_19,Conference paper
Securing Healthcare Systems: Modern Threats and Strategic Developments in Cybersecurity,Intelligent Computing and Communication,,,,10.1007/978-981-96-1267-3_27,M. Husain BathushawS. Nagasundaram,2025,https://link.springer.com/chapter/10.1007/978-981-96-1267-3_27,Conference paper
Enhanced Lightweight Model for Detection of Phishing URL Using Machine Learning,Machine Intelligence and Smart Systems,,,,10.1007/978-981-33-4893-6_24,Siddhesh MasurkarVipul Dalal,2021,https://link.springer.com/chapter/10.1007/978-981-33-4893-6_24,Conference paper
Replacing Human Input in&#xa0;Spam Email Detection Using Deep Learning,Artificial Intelligence in HCI,,,,10.1007/978-3-031-05643-7_25,Mathew NichoFarzan MajdaniChristopher D. McDermott,2022,https://link.springer.com/chapter/10.1007/978-3-031-05643-7_25,Conference paper
Mouse Dynamics-Based Online Fraud Detection System for Online Education Platforms,Proceedings of Ninth International Congress on Information and Communication Technology,,,,10.1007/978-981-97-3302-6_21,Aditya SubashInsu SongIckjai LeeKyungmi Lee,2024,https://link.springer.com/chapter/10.1007/978-981-97-3302-6_21,Conference paper
Phishing URL detection with neural networks: an empirical study,Scientific Reports,,,,10.1038/s41598-024-74725-6,Hayk GhalechyanElina IsrayelyanAvag ArakelyanGerasim HovhannisyanArman Davtyan,2024,https://link.springer.com/article/10.1038/s41598-024-74725-6,Article
"Digital health data security practices among health professionals in low-resource settings: cross-sectional study in Amhara Region, Ethiopia",BMC Medical Informatics and Decision Making,,,,10.1186/s12911-025-02902-2,Ayenew Sisay GebeyewWondwossen ZemeneBinyam Chaklu TilahunNebyu Demeke MengestieBerhanu Fikade EndehabtuZegeye Regasa WordofaMitiku Kassaw TakilloGedefaw Belete AshagrieMelaku Molla Sisay,2025,https://link.springer.com/article/10.1186/s12911-025-02902-2,Article
Phishing Website Detection Through Multi-model Analysis of&#xa0;HTML Content,Proceedings of International Conference on Theoretical and Applied Computing,,,,10.1007/978-981-97-6957-5_15,Furkan ÇolhakMert İlhan EcevitBilal Emir UçarReiner CreutzburgHasan Dağ,2025,https://link.springer.com/chapter/10.1007/978-981-97-6957-5_15,Conference paper
